chr	start	end	name	TargetGene	TargetGeneTSS	CellType	ABC.Score
chr15	35858801	35859981	genic|chr15:35858801-35859981	DPH6	35838404		0.049752
chr15	36149809	36150840	genic|chr15:36149809-36150840	DPH6-AS1	35838395		0.021193
chr15	36149809	36150840	genic|chr15:36149809-36150840	DPH6	35838404		0.021193
chr15	36249512	36250727	intergenic|chr15:36249512-36250727	C15orf41	36871803		0.022847
chr15	37175860	37178048	genic|chr15:37175860-37178048	LOC145845	37178734		0.140676
chr15	37180180	37181725	intergenic|chr15:37180180-37181725	LOC145845	37178734		0.088806
chr15	37368927	37370295	genic|chr15:37368927-37370295	MEIS2	37392341		0.024408
chr15	37371902	37372837	genic|chr15:37371902-37372837	MEIS2	37392341		0.024733
chr15	37384580	37385572	genic|chr15:37384580-37385572	MEIS2	37392341		0.050262
chr15	37389198	37389698	genic|chr15:37389198-37389698	MEIS2	37392341		0.024387
chr15	37396433	37397363	intergenic|chr15:37396433-37397363	MEIS2	37392341		0.021975
chr15	37398519	37400802	intergenic|chr15:37398519-37400802	MEIS2	37392341		0.042104
chr15	38800394	38801353	genic|chr15:38800394-38801353	FAM98B	38746327		0.035260
chr15	38800394	38801353	genic|chr15:38800394-38801353	RASGRP1	38857007		0.040130
chr15	38827613	38828466	genic|chr15:38827613-38828466	RASGRP1	38857007		0.020482
chr15	38891847	38893181	intergenic|chr15:38891847-38893181	RASGRP1	38857007		0.032236
chr15	38960514	38961869	intergenic|chr15:38960514-38961869	RASGRP1	38857007		0.020350
chr15	39877321	39878115	genic|chr15:39877321-39878115	THBS1	39873279		0.060931
chr15	39878180	39879098	genic|chr15:39878180-39879098	THBS1	39873279		0.222519
chr15	39878180	39879098	genic|chr15:39878180-39879098	FSIP1	40075039		0.021023
chr15	39878180	39879098	genic|chr15:39878180-39879098	LOC105370941	40075106		0.021023
chr15	39878180	39879098	genic|chr15:39878180-39879098	EIF2AK4	40226324		0.021636
chr15	40078010	40078510	intergenic|chr15:40078010-40078510	FSIP1	40075039		0.039674
chr15	40078010	40078510	intergenic|chr15:40078010-40078510	LOC105370941	40075106		0.039674
chr15	40078637	40079137	intergenic|chr15:40078637-40079137	FSIP1	40075039		0.055999
chr15	40078637	40079137	intergenic|chr15:40078637-40079137	LOC105370941	40075106		0.055999
chr15	40143359	40145027	genic|chr15:40143359-40145027	GPR176	40213093		0.026618
chr15	40143359	40145027	genic|chr15:40143359-40145027	EIF2AK4	40226324		0.026122
chr15	40337238	40337738	genic|chr15:40337238-40337738	SRP14	40331403		0.021065
chr15	40337238	40337738	genic|chr15:40337238-40337738	SRP14-AS1	40331511		0.021065
chr15	40383977	40384947	genic|chr15:40383977-40384947	BMF	40398639		0.044181
chr15	40390854	40391354	genic|chr15:40390854-40391354	BMF	40398639		0.020035
chr15	40391817	40392413	genic|chr15:40391817-40392413	BMF	40398639		0.027366
chr15	40395105	40395930	genic|chr15:40395105-40395930	BMF	40398639		0.100620
chr15	40395105	40395930	genic|chr15:40395105-40395930	BUB1B	40453209		0.021578
chr15	40396833	40397424	genic|chr15:40396833-40397424	BMF	40398639		0.041906
chr15	40400879	40402118	intergenic|chr15:40400879-40402118	SRP14	40331403		0.021162
chr15	40400879	40402118	intergenic|chr15:40400879-40402118	SRP14-AS1	40331511		0.021162
chr15	40400879	40402118	intergenic|chr15:40400879-40402118	BMF	40398639		0.148659
chr15	40400879	40402118	intergenic|chr15:40400879-40402118	BUB1B	40453209		0.045332
chr15	40400879	40402118	intergenic|chr15:40400879-40402118	BUB1B-PAK6	40509628		0.026159
chr15	40400879	40402118	intergenic|chr15:40400879-40402118	ANKRD63	40574787		0.028361
chr15	40566445	40567326	genic|chr15:40566445-40567326	ANKRD63	40574787		0.049237
chr15	40571534	40572216	genic|chr15:40571534-40572216	ANKRD63	40574787		0.026670
chr15	40578246	40578869	intergenic|chr15:40578246-40578869	PAK6	40531997		0.026093
chr15	40578246	40578869	intergenic|chr15:40578246-40578869	ANKRD63	40574787		0.024369
chr15	40582681	40583844	genic|chr15:40582681-40583844	ANKRD63	40574787		0.020124
chr15	40586053	40586553	genic|chr15:40586053-40586553	ANKRD63	40574787		0.026541
chr15	40605475	40606242	intergenic|chr15:40605475-40606242	ANKRD63	40574787		0.024954
chr15	40619624	40620124	intergenic|chr15:40619624-40620124	C15orf52	40633168		0.025854
chr15	40646538	40647306	genic|chr15:40646538-40647306	BUB1B	40453209		0.024314
chr15	40646538	40647306	genic|chr15:40646538-40647306	C15orf56	40545110		0.032842
chr15	40646538	40647306	genic|chr15:40646538-40647306	ANKRD63	40574787		0.020167
chr15	40646538	40647306	genic|chr15:40646538-40647306	C15orf52	40633168		0.052499
chr15	40646538	40647306	genic|chr15:40646538-40647306	PHGR1	40643233		0.152108
chr15	40646538	40647306	genic|chr15:40646538-40647306	KNSTRN	40674921		0.031436
chr15	40646538	40647306	genic|chr15:40646538-40647306	IVD	40697685		0.042967
chr15	40646538	40647306	genic|chr15:40646538-40647306	LOC105370943	41199006		0.021802
chr15	40646538	40647306	genic|chr15:40646538-40647306	DLL4	41221530		0.024997
chr15	40658860	40659551	genic|chr15:40658860-40659551	C15orf52	40633168		0.021566
chr15	40658860	40659551	genic|chr15:40658860-40659551	PHGR1	40643233		0.026812
chr15	40659719	40660643	genic|chr15:40659719-40660643	KNSTRN	40674921		0.037006
chr15	40845846	40846758	genic|chr15:40845846-40846758	C15orf57	40857256		0.021192
chr15	40881908	40882408	intergenic|chr15:40881908-40882408	KNL1	40886446		0.052739
chr15	41196166	41196666	genic|chr15:41196166-41196666	VPS18	41186627		0.024492
chr15	41196166	41196666	genic|chr15:41196166-41196666	LOC105370943	41199006		0.061390
chr15	41218048	41218804	intergenic|chr15:41218048-41218804	DLL4	41221530		0.062877
chr15	41233522	41234372	intergenic|chr15:41233522-41234372	DLL4	41221530		0.025003
chr15	41249727	41250227	intergenic|chr15:41249727-41250227	CHAC1	41245346		0.039616
chr15	41460947	41462181	intergenic|chr15:41460947-41462181	INO80	41408444		0.026791
chr15	41533191	41533854	genic|chr15:41533191-41533854	EXD1	41522955		0.020019
chr15	41533191	41533854	genic|chr15:41533191-41533854	CHP1	41523436		0.020019
chr15	41579385	41580061	genic|chr15:41579385-41580061	OIP5-AS1	41576200		0.055995
chr15	41700219	41701242	intergenic|chr15:41700219-41701242	NDUFAF1	41694658		0.057513
chr15	41849718	41850464	intergenic|chr15:41849718-41850464	TYRO3	41851219		0.049996
chr15	41852601	41853174	genic|chr15:41852601-41853174	RPAP1	41836475		0.021965
chr15	41852601	41853174	genic|chr15:41852601-41853174	TYRO3	41851219		0.065295
chr15	41853807	41854399	genic|chr15:41853807-41854399	RPAP1	41836475		0.022363
chr15	41853807	41854399	genic|chr15:41853807-41854399	TYRO3	41851219		0.066477
chr15	41912959	41914438	intergenic|chr15:41912959-41914438	MGA	41952609		0.045170
chr15	41912959	41914438	intergenic|chr15:41912959-41914438	PLA2G4B	42131010		0.021683
chr15	41946630	41947500	intergenic|chr15:41946630-41947500	MGA	41952609		0.025688
chr15	41953644	41954431	genic|chr15:41953644-41954431	MGA	41952609		0.096147
chr15	42323334	42324176	genic|chr15:42323334-42324176	PLA2G4E	42342901		0.022563
chr15	42348931	42349808	intergenic|chr15:42348931-42349808	PLA2G4E	42342901		0.041246
chr15	42630558	42631727	genic|chr15:42630558-42631727	TMEM87A	42565782		0.023518
chr15	42630558	42631727	genic|chr15:42630558-42631727	GANC	42566365		0.023513
chr15	42782808	42783803	intergenic|chr15:42782808-42783803	ZNF106	42749765		0.046020
chr15	42782808	42783803	intergenic|chr15:42782808-42783803	SNAP23	42787503		0.114458
chr15	42873327	42874047	genic|chr15:42873327-42874047	STARD9	42867856		0.028777
chr15	42887657	42888463	genic|chr15:42887657-42888463	STARD9	42867856		0.024740
chr15	43074396	43075772	genic|chr15:43074396-43075772	STARD9	42867856		0.022407
chr15	43074396	43075772	genic|chr15:43074396-43075772	CDAN1	43029417		0.046078
chr15	43074396	43075772	genic|chr15:43074396-43075772	TTBK2	43213007		0.022951
chr15	43218827	43219327	intergenic|chr15:43218827-43219327	TTBK2	43213007		0.030033
chr15	43414856	43415629	intergenic|chr15:43414856-43415629	TMEM62	43425721		0.047974
chr15	43479706	43480206	genic|chr15:43479706-43480206	CCNDBP1	43477465		0.053403
chr15	43532901	43533903	genic|chr15:43532901-43533903	CCNDBP1	43477465		0.022333
chr15	43801028	43801528	intergenic|chr15:43801028-43801528	MAP1A	43809805		0.033169
chr15	43802267	43803379	intergenic|chr15:43802267-43803379	ADAL	43622553		0.021789
chr15	43802267	43803379	intergenic|chr15:43802267-43803379	LCMT2	43622820		0.021789
chr15	43802267	43803379	intergenic|chr15:43802267-43803379	ZSCAN29	43662258		0.036603
chr15	43802267	43803379	intergenic|chr15:43802267-43803379	TUBGCP4	43663256		0.036603
chr15	43802267	43803379	intergenic|chr15:43802267-43803379	TP53BP1	43785354		0.142493
chr15	43802267	43803379	intergenic|chr15:43802267-43803379	MAP1A	43809805		0.265100
chr15	43802267	43803379	intergenic|chr15:43802267-43803379	SERINC4	44092295		0.023882
chr15	43802267	43803379	intergenic|chr15:43802267-43803379	HYPK	44092618		0.023882
chr15	43802267	43803379	intergenic|chr15:43802267-43803379	EIF3J	44829265		0.020960
chr15	43806314	43806814	intergenic|chr15:43806314-43806814	MAP1A	43809805		0.024213
chr15	44164570	44165070	genic|chr15:44164570-44165070	PIN4P1	44170369		0.033490
chr15	44207162	44208325	genic|chr15:44207162-44208325	PIN4P1	44170369		0.051043
chr15	44207162	44208325	genic|chr15:44207162-44208325	FRMD5	44487492		0.029711
chr15	44207162	44208325	genic|chr15:44207162-44208325	EIF3J	44829265		0.020157
chr15	44211767	44212758	genic|chr15:44211767-44212758	MFAP1	44116951		0.020987
chr15	44211767	44212758	genic|chr15:44211767-44212758	WDR76	44119111		0.020987
chr15	44211767	44212758	genic|chr15:44211767-44212758	PIN4P1	44170369		0.045845
chr15	44211767	44212758	genic|chr15:44211767-44212758	FRMD5	44487492		0.028083
chr15	44542445	44543895	intergenic|chr15:44542445-44543895	CASC4	44580908		0.023338
chr15	44826505	44827005	genic|chr15:44826505-44827005	EIF3J	44829265		0.039308
chr15	45410186	45410942	genic|chr15:45410186-45410942	DUOX2	45406359		0.079579
chr15	45410186	45410942	genic|chr15:45410186-45410942	DUOXA2	45406522		0.079580
chr15	45458781	45460170	genic|chr15:45458781-45460170	B2M	45003684		0.024262
chr15	45458781	45460170	genic|chr15:45458781-45460170	DUOX2	45406359		0.043598
chr15	45458781	45460170	genic|chr15:45458781-45460170	DUOXA2	45406522		0.043598
chr15	45458781	45460170	genic|chr15:45458781-45460170	GATM	45670980		0.032060
chr15	45458781	45460170	genic|chr15:45458781-45460170	SPATA5L1	45694518		0.049324
chr15	45490116	45493682	intergenic|chr15:45490116-45493682	ELL3	44069502		0.025396
chr15	45490116	45493682	intergenic|chr15:45490116-45493682	EIF3J	44829265		0.020472
chr15	45490116	45493682	intergenic|chr15:45490116-45493682	SPG11	44955876		0.038991
chr15	45490116	45493682	intergenic|chr15:45490116-45493682	LOC100419583	45021185		0.041379
chr15	45490116	45493682	intergenic|chr15:45490116-45493682	DUOX2	45406359		0.059307
chr15	45490116	45493682	intergenic|chr15:45490116-45493682	DUOXA2	45406522		0.059307
chr15	45490116	45493682	intergenic|chr15:45490116-45493682	LOC101928414	45571420		0.067190
chr15	45490116	45493682	intergenic|chr15:45490116-45493682	GATM	45670980		0.033130
chr15	45490116	45493682	intergenic|chr15:45490116-45493682	SPATA5L1	45694518		0.101718
chr15	45490116	45493682	intergenic|chr15:45490116-45493682	SLC30A4	45815002		0.036956
chr15	45490116	45493682	intergenic|chr15:45490116-45493682	BLOC1S6	45879320		0.034009
chr15	45490116	45493682	intergenic|chr15:45490116-45493682	SQRDL	45926937		0.041911
chr15	45579406	45580191	intergenic|chr15:45579406-45580191	LOC101928414	45571420		0.060509
chr15	45618496	45619424	intergenic|chr15:45618496-45619424	GATM	45670980		0.024027
chr15	45618496	45619424	intergenic|chr15:45618496-45619424	SPATA5L1	45694518		0.020653
chr15	45655875	45656676	genic|chr15:45655875-45656676	GATM	45670980		0.047388
chr15	45655875	45656676	genic|chr15:45655875-45656676	SPATA5L1	45694518		0.021316
chr15	45664163	45665024	genic|chr15:45664163-45665024	GATM	45670980		0.026917
chr15	45678488	45679640	intergenic|chr15:45678488-45679640	GATM	45670980		0.067951
chr15	45929640	45930422	genic|chr15:45929640-45930422	SQRDL	45926937		0.040677
chr15	46035384	46037088	genic|chr15:46035384-46037088	SQRDL	45926937		0.048666
chr15	47476027	47478110	intergenic|chr15:47476027-47478110	SEMA6D	48010685		0.031718
chr15	47697050	47698366	intergenic|chr15:47697050-47698366	SEMA6D	48010685		0.024315
chr15	47697050	47698366	intergenic|chr15:47697050-47698366	SLC27A2	50474392		0.029648
chr15	48007983	48008579	intergenic|chr15:48007983-48008579	SEMA6D	48010685		0.021203
chr15	48008723	48009855	intergenic|chr15:48008723-48009855	SEMA6D	48010685		0.051084
chr15	48015923	48016423	genic|chr15:48015923-48016423	SEMA6D	48010685		0.032415
chr15	48018032	48018684	genic|chr15:48018032-48018684	SEMA6D	48010685		0.041255
chr15	48019447	48019947	genic|chr15:48019447-48019947	SEMA6D	48010685		0.027682
chr15	48131083	48132477	genic|chr15:48131083-48132477	SEMA6D	48010685		0.024462
chr15	48131083	48132477	genic|chr15:48131083-48132477	MYEF2	48470558		0.020201
chr15	49267522	49269113	intergenic|chr15:49267522-49269113	CEP152	49103343		0.023075
chr15	49267522	49269113	intergenic|chr15:49267522-49269113	EID1	49170289		0.041814
chr15	49267522	49269113	intergenic|chr15:49267522-49269113	SHC4	49255641		0.102943
chr15	49267522	49269113	intergenic|chr15:49267522-49269113	SECISBP2L	49338760		0.038021
chr15	49267522	49269113	intergenic|chr15:49267522-49269113	COPS2	49447854		0.029484
chr15	49267522	49269113	intergenic|chr15:49267522-49269113	NDUFAF4P1	49448494		0.029485
chr15	49713878	49714734	genic|chr15:49713878-49714734	FGF7	49715374		0.047182
chr15	49937531	49938931	intergenic|chr15:49937531-49938931	FAM227B	49913118		0.025889
chr15	49937531	49938931	intergenic|chr15:49937531-49938931	DTWD1	49913225		0.025889
chr15	49980490	49981589	intergenic|chr15:49980490-49981589	GALK2	49462212		0.021372
chr15	49980490	49981589	intergenic|chr15:49980490-49981589	FAM227B	49913118		0.025087
chr15	49980490	49981589	intergenic|chr15:49980490-49981589	DTWD1	49913225		0.025087
chr15	50967663	50968163	genic|chr15:50967663-50968163	TRPM7	50979012		0.023106
chr15	51078507	51079240	intergenic|chr15:51078507-51079240	SPPL2A	51057910		0.030883
chr15	51299140	51300358	intergenic|chr15:51299140-51300358	DCAF13P3	51236325		0.030220
chr15	51316669	51317483	intergenic|chr15:51316669-51317483	DCAF13P3	51236325		0.038502
chr15	51626002	51626502	genic|chr15:51626002-51626502	GLDN	51633712		0.042473
chr15	51627683	51628723	genic|chr15:51627683-51628723	GLDN	51633712		0.107709
chr15	51645899	51646620	genic|chr15:51645899-51646620	GLDN	51633712		0.025728
chr15	51969592	51970092	intergenic|chr15:51969592-51970092	SCG3	51973549		0.021972
chr15	51979476	51979976	genic|chr15:51979476-51979976	SCG3	51973549		0.027262
chr15	52050683	52051330	genic|chr15:52050683-52051330	SCG3	51973549		0.025606
chr15	52050683	52051330	genic|chr15:52050683-52051330	LYSMD2	52030320		0.031936
chr15	52057832	52058420	genic|chr15:52057832-52058420	LYSMD2	52030320		0.022000
chr15	52069122	52069622	genic|chr15:52069122-52069622	LYSMD2	52030320		0.022002
chr15	52237355	52238183	genic|chr15:52237355-52238183	LOC100422556	52216317		0.028109
chr15	52237355	52238183	genic|chr15:52237355-52238183	LEO1	52263998		0.021143
chr15	52303717	52304510	intergenic|chr15:52303717-52304510	MAPK6	52311410		0.021866
chr15	52428320	52429422	genic|chr15:52428320-52429422	LOC100422556	52216317		0.035742
chr15	52428320	52429422	genic|chr15:52428320-52429422	LEO1	52263998		0.026443
chr15	52457433	52458487	genic|chr15:52457433-52458487	GNB5	52472162		0.061753
chr15	52457433	52458487	genic|chr15:52457433-52458487	CERNA1	52472222		0.061753
chr15	52547963	52549226	genic|chr15:52547963-52549226	GNB5	52472162		0.022377
chr15	52547963	52549226	genic|chr15:52547963-52549226	CERNA1	52472222		0.022378
chr15	52547963	52549226	genic|chr15:52547963-52549226	MYO5A	52821247		0.034192
chr15	52547963	52549226	genic|chr15:52547963-52549226	FAM214A	52970831		0.024864
chr15	52568243	52569320	genic|chr15:52568243-52569320	LOC100422556	52216317		0.028577
chr15	52943764	52944811	genic|chr15:52943764-52944811	FAM214A	52970831		0.022851
chr15	52964895	52965484	genic|chr15:52964895-52965484	FAM214A	52970831		0.081090
chr15	53076047	53076547	genic|chr15:53076047-53076547	ONECUT1	53082209		0.048957
